"k","max_depth","f1_score"
10,"5",0.352941176470588
10,"5",0.456521739130435
10,"5",0.348837209302326
10,"5",0.30952380952381
10,"5",0.382022471910112
10,"5",0.422222222222222
10,"5",0.404494382022472
10,"5",0.422222222222222
10,"5",0.520833333333333
10,"5",0.289156626506024
10,"5",0.48936170212766
10,"5",0.404494382022472
10,"5",0.444444444444444
10,"5",0.289156626506024
10,"5",0.367816091954023
10,"5",0.404494382022472
10,"5",0.409090909090909
10,"5",0.329411764705882
10,"5",0.390804597701149
10,"5",0.329411764705882
10,"5",0.367816091954023
10,"5",0.32183908045977
10,"5",0.456521739130435
10,"5",0.30952380952381
10,"5",0.520833333333333
10,"None",0.752136752136752
10,"None",0.852941176470588
10,"None",0.752136752136752
10,"None",0.796747967479675
10,"None",0.786324786324786
10,"None",0.832
10,"None",0.887218045112782
10,"None",0.866141732283465
10,"None",0.730434782608696
10,"None",0.80327868852459
10,"None",0.848
10,"None",0.828125
10,"None",0.816666666666667
10,"None",0.796747967479675
10,"None",0.775862068965517
10,"None",0.816
10,"None",0.816
10,"None",0.8
10,"None",0.779661016949153
10,"None",0.80672268907563
10,"None",0.84375
10,"None",0.837209302325581
10,"None",0.786885245901639
10,"None",0.806201550387597
10,"None",0.760330578512397
10,"None",0.816666666666667
10,"None",0.841269841269841
10,"None",0.786885245901639
10,"None",0.809917355371901
10,"None",0.806451612903226
10,"None",0.84375
10,"None",0.736842105263158
10,"None",0.75
10,"None",0.819672131147541
10,"None",0.829268292682927
10,"None",0.728813559322034
10,"None",0.841269841269841
10,"None",0.758620689655172
10,"None",0.89051094890511
10,"None",0.859375
10,"None",0.80327868852459
10,"None",0.870229007633588
10,"None",0.75
10,"None",0.848
10,"None",0.826446280991735
10,"None",0.8
10,"None",0.806451612903226
10,"None",0.8
10,"None",0.735042735042735
10,"None",0.80952380952381
10,"None",0.806451612903226
10,"None",0.828125
10,"None",0.8
10,"None",0.793388429752066
10,"None",0.8
10,"None",0.829268292682927
10,"None",0.838709677419355
10,"None",0.770491803278688
10,"None",0.752136752136752
10,"None",0.818897637795276
10,"None",0.864
10,"None",0.783333333333333
10,"None",0.841269841269841
10,"None",0.787878787878788
10,"None",0.796610169491525
10,"None",0.714285714285714
10,"None",0.789915966386555
10,"None",0.819672131147541
10,"None",0.78740157480315
10,"None",0.846153846153846
10,"None",0.859375
10,"None",0.829268292682927
10,"None",0.828125
10,"None",0.815384615384615
10,"None",0.80327868852459
10,"None",0.793103448275862
10,"None",0.8125
10,"None",0.796747967479675
10,"None",0.779661016949153
10,"None",0.766666666666667
10,"None",0.776859504132231
10,"None",0.789915966386555
10,"None",0.806451612903226
10,"None",0.861538461538462
10,"None",0.825396825396825
10,"None",0.846153846153846
10,"None",0.82258064516129
10,"None",0.793103448275862
10,"None",0.825396825396825
10,"None",0.710743801652893
10,"None",0.745762711864407
10,"None",0.770491803278688
10,"None",0.878787878787879
10,"None",0.793103448275862
10,"None",0.854838709677419
10,"None",0.745762711864407
10,"None",0.773109243697479
10,"None",0.87218045112782
10,"None",0.774193548387097
10,"None",0.821705426356589
